  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0024                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.150     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -1.3155   0.06185   0.05679   0.0047   0.9998   0.1388
  -8.000  -1.2346   0.05067   0.04429   0.0107   0.4855   0.1736
  -6.000  -1.1610   0.03841   0.03201   0.0182   0.4722   0.2169
  -4.000  -1.1208   0.02430   0.01785   0.0297   0.4605   0.2716
  -2.000  -1.0638   0.01487   0.00856   0.0477   0.4474   0.3538
   0.000  -0.9823   0.01143   0.00557   0.0729   0.4337   0.5016
   2.000  -0.7758   0.01153   0.00554   0.0782   0.4115   0.5186
   4.000  -0.5482   0.01168   0.00553   0.0792   0.3801   0.5276
   6.000  -0.3167   0.01169   0.00531   0.0789   0.3412   0.5321
   8.000  -0.0819   0.01150   0.00494   0.0775   0.2983   0.5330
  10.000   0.1504   0.01194   0.00519   0.0764   0.2525   0.5305
  12.000   0.3781   0.01236   0.00548   0.0757   0.2096   0.5297
  14.000   0.5963   0.01330   0.00635   0.0765   0.1713   0.5291
  16.000   0.7973   0.01487   0.00790   0.0797   0.1396   0.5288
  18.000   0.9618   0.01702   0.01015   0.0883   0.1161   0.5289
  20.000   1.0899   0.02136   0.01469   0.0982   0.0987   0.5296
