  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0024                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.150     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000   0.3236   0.01543   0.00904  -0.1111   0.5223   0.2837
  -8.000   0.5600   0.01507   0.00886  -0.1129   0.5251   0.3230
  -6.000   0.7721   0.01721   0.01130  -0.1109   0.5222   0.3571
  -4.000   1.0029   0.01598   0.01022  -0.1104   0.5167   0.3867
  -2.000   1.2288   0.01507   0.00930  -0.1086   0.5064   0.4101
   0.000   0.8523   0.05216   0.04769  -0.0496   0.4444   0.4125
   2.000   1.1316   0.04486   0.03914  -0.0507   0.3123   0.4309
   4.000   1.1505   0.06182   0.05582  -0.0393   0.2412   0.4397
   6.000   1.2480   0.07238   0.06621  -0.0330   0.1898   0.4493
   8.000   1.3475   0.08287   0.07660  -0.0278   0.1493   0.4595
  10.000   1.4381   0.09444   0.08824  -0.0235   0.1199   0.4697
  12.000   1.5080   0.10830   0.10227  -0.0206   0.0974   0.4791
  14.000   1.5413   0.12680   0.12108  -0.0209   0.0811   0.4876
  16.000   1.5442   0.14974   0.14443  -0.0275   0.0687   0.5050
  18.000   1.5403   0.17340   0.16943  -0.0391   0.0591   0.9997
  20.000   1.5329   0.19825   0.19455  -0.0564   0.0506   0.9997
